Front	Back
新北	Xīnběi — New Taipei (most populous city in Taiwan)
桃園	Táoyuán — Taoyuan (location of main international airport)
"How would you say ""do you have an English menu""?"	有沒有英文菜單？— yǒu méiyǒu yīngwén càidān?
在verb chain里，了放在哪里？	了 goes at the END of the whole verb chain not after the first verb — wǒ wàng dài le not wǒ wàng le dài
verb + 一下 的语法作用是什么？	softens and casualizes the verb — makes it sound brief and low-effort. wèn = ask / wèn yīxià = just ask real quick
为什么 好可以 里的 好 读 hǎo 不读 hěn？	in Taiwan colloquial usage 好 acts as an intensifier meaning so/really like 很 — still pronounced hǎo not hěn
为什么中文里不需要说请？	context + 谢谢 provides the politeness — bare requests are not rude in Chinese the way they are in English
传统	chuántǒng — traditional
现代	xiàndài — modern
开放	kāifàng — open-minded / liberal
纹身	wénshēn — tattoo
偏见	piānjiàn — bias / prejudice
政府	zhèngfǔ — government
机构	jīgòu — institution / office
比较	bǐjiào — relatively / comparatively
年轻人	niánqīng rén — young people
大部分	dàbùfen — most / the majority of
要求	yāoqiú — to require
想法	xiǎngfǎ — idea / way of thinking
美术	měishù — fine arts
艺术	yìshù — art
艺术学校	yìshù xuéxiào — art school
年级	niánjí — grade / year level
随便	suíbiàn — laid-back / casual / easygoing
外国人	wàiguórén — foreigner
难得	nándé — rare / hard to come by
惊讶	jīngyà — surprised
课堂	kètáng — classroom
偷懒	tōulǎn — to slack off / take the easy way out
没有办法	méiyǒu bànfǎ — no way to / can't
秘密	mìmì — secret
待	dāi — to stay somewhere
资助	zīzhù — to fund / sponsor
奖学金	jiǎngxuéjīn — scholarship / grant
旅游费用	lǚyóu fèiyòng — travel expenses
支付	zhīfù — to pay for
把	bǎ — particle that moves object before verb
盖住	gài zhù — to cover up
确实	quèshí — indeed / really true
勇敢	yǒnggǎn — brave / courageous
哪种饮料没有牛奶？	nǎ zhǒng yǐnliào méiyǒu niúnǎi — which kind of drink has no milk?
我比较喜欢不甜的	wǒ bǐjiào xǐhuān bù tián de — I prefer the not-sweet kind
我在网上看到麻婆豆腐	wǒ zài wǎngshàng kàn dào má pó dòufu — I saw mapo tofu online
你以前做过麻婆豆腐吗？	nǐ yǐqián zuò guo má pó dòufu ma — have you ever made mapo tofu before?
我学了三个星期	wǒ xué le sān gè xīngqī — I have been studying for three weeks
零食	líng shí / Snacks
果汁	guǒzhī — fruit juice
糖	táng — sugar
红茶	hóng chá — black tea (red tea)
茶叶	chá yè — tea leaves
瓶装	píng zhuāng — bottled
一瓶	yī píng — one bottle
拿	ná — to grab / to get
麻婆豆腐	má pó dòufu — mapo tofu
川菜	Chuāncài — Sichuan cuisine
豆腐	dòufu — tofu
肉末	ròumò — ground meat
豆瓣酱	dòubàn jiàng — spicy bean paste
花椒	huājiāo — Sichuan peppercorns
大蒜	dàsuàn — garlic
姜	jiāng — ginger
葱	cōng — green onion
辣	là — spicy
真正的	zhēnzhèng de — authentic / real
网上	wǎngshàng — online
清爽	qīngshuǎng — refreshing
好几种	hǎo jǐ zhǒng — several kinds
你来对地方了	nǐ lái duì dìfāng le — you came to the right place
所有东西都有	suǒyǒu dōngxi dōu yǒu — we have everything
verb+到 = action reached its goal (看到=saw it / 找到=found it / 听到=heard it)	verb + 到 — shows the action succeeded or reached its target
adjective+的 at end of sentence does what for the adjective?	"adjective + 的 — turns adjective into noun phrase meaning ""the [adj] one"" "
过 after verb = have ever done something (做过=have ever made / 吃过=have ever eaten)	"verb + 过 — experiential particle meaning ""have ever done"""
音乐节	yīnyuè jié — music festival
流行音乐	liúxíng yīnyuè — pop music
摇滚乐	yáogǔn yuè — rock music
摇滚	yáogǔn — rock (music)
太棒了	tài bàng le — awesome / fantastic
乱	luàn — chaotic / messy
节奏	jiézòu — rhythm / beat
奇怪	qíguài — strange / weird
电子音乐	diànzǐ yīnyuè — electronic music
风格	fēnggé — style / genre
入乡随俗	rù xiāng suí sú — when in Rome do as the Romans do
酷	kù — cool
旋律	xuánlǜ — melody
歌词	gēcí — lyrics
鼓	gǔ — drums
吉他	jítā — guitar
钢琴	gāngqín — piano
贝斯	bèisī — bass guitar
键盘	jiànpán — keyboard
小提琴	xiǎotíqín — violin
合唱	héchàng — chorus / choir
副歌	fùgē — chorus / refrain (of a song)
间奏	jiānzòu — instrumental break / interlude
音量	yīnliàng — volume
沙茶鸡	shā chá jī — Sha Cha Chicken
沙茶酱	shā chá jiàng — Sha Cha sauce
一道	yī dào — measure word for dishes/courses
它	tā — it (for objects/animals/things)
食材	shícái — ingredients
有卖	yǒu mài — have it for sale / carry it
调料区	tiáoliào qū — condiments/sauces aisle
区	qū — zone / area / section
酱油	jiàng yóu — soy sauce
盐	yán — salt
胡椒	hújiāo — pepper
我想做沙茶鸡。	Wǒ xiǎng zuò shā chá jī. — I want to make Sha Cha Chicken.
请问沙茶酱在哪里？	Qǐngwèn shā chá jiàng zài nǎlǐ? — Excuse me where is the Sha Cha sauce?
我想做一道菜。	Wǒ xiǎng zuò yī dào cài. — I want to make a dish.
它叫沙茶鸡。	Tā jiào shā chá jī. — It's called Sha Cha Chicken.
我需要买食材。	Wǒ xūyào mǎi shícái. — I need to buy ingredients.
我们这里有卖沙茶酱。	Wǒmen zhèlǐ yǒu mài shā chá jiàng. — We carry Sha Cha sauce here.
沙茶酱在调料区。	Shā chá jiàng zài tiáoliào qū. — Sha Cha sauce is in the condiments aisle.
肉区在哪里？	Ròu qū zài nǎlǐ? — Where is the meat section?
沙茶鸡需要酱油。	Shā chá jī xūyào jiàng yóu. — Sha Cha Chicken needs soy sauce.
请问姜在哪里？	Qǐngwèn jiāng zài nǎlǐ? — Excuse me where is the ginger?
我需要姜和大蒜。	Wǒ xūyào jiāng hé dàsuàn. — I need ginger and garlic.
这个菜需要一点盐。	Zhège cài xūyào yīdiǎn yán. — This dish needs a little salt.
你要加胡椒吗？	Nǐ yào jiā hújiāo ma? — Do you want to add pepper?
这个怎么卖？	zhège zěnme mài — how much is this / how is it sold?
有没有别的颜色？	yǒu méiyǒu bié de yánsè — do you have other colors?
在哪里可以买到？	zài nǎlǐ kěyǐ mǎidào — where can I buy this?
这个是用来做什么的？	zhège shì yòng lái zuò shénme de — what is this used for?
你可以说慢一点吗？	nǐ kěyǐ shuō màn yīdiǎn ma — can you speak a little slower?
你可以说快一点吗？	nǐ kěyǐ shuō kuài yīdiǎn ma — can you speak a little faster?
你可以再说一次吗？	nǐ kěyǐ zài shuō yī cì ma — can you say that again?
你可以说得更清楚吗？	nǐ kěyǐ shuō de gèng qīngchǔ ma — can you speak more clearly?
我可以练习中文吗	wǒ kěyǐ liànxí zhōngwén ma — Can I practice Chinese?
这个中文怎么说？	zhège zhōngwén zěnme shuō — how do you say this in Chinese?
我听不懂，可以解释吗？	wǒ tīng bù dǒng kěyǐ jiěshì ma — I don't understand can you explain?
我的中文还不太好，请耐心一点。	wǒ de zhōngwén hái bù tài hǎo qǐng nàixīn yīdiǎn — my Chinese isn't very good yet please be patient
听起来很好听！	tīng qǐlái hěn hǎotīng — that sounds great!
这个声音是什么？	zhège shēngyīn shì shénme — what is that sound?
好像有人在说话。	hǎoxiàng yǒu rén zài shuōhuà — it sounds like someone is talking
对了，我想问一下。	duì le wǒ xiǎng wèn yīxià — oh right I wanted to ask something
其实我不太明白。	qíshí wǒ bù tài míngbai — actually I don't quite understand
没关系，我们继续吧。	méi guānxi wǒmen jìxù ba — it's okay let's continue
我忘了怎么说。	wǒ wàng le zěnme shuō — I forgot how to say it
可以帮我翻译吗？	kěyǐ bāng wǒ fānyì ma — can you translate this for me?
我想买这个，多少钱？	wǒ xiǎng mǎi zhège duōshǎo qián — I want to buy this how much is it?
这里有没有___？	zhèlǐ yǒu méiyǒu ___ — do you have ___ here?
请问，厕所在哪里？	qǐngwèn cèsuǒ zài nǎlǐ — excuse me where is the bathroom?
我可以看一下吗？	wǒ kěyǐ kàn yīxià ma — can I take a look?
不好意思，我有一个问题。	bù hǎo yìsi wǒ yǒu yī gè wèntí — excuse me I have a question
我听说这里很有名。	wǒ tīng shuō zhèlǐ hěn yǒumíng — I heard this place is famous
你推荐什么？	nǐ tuījiàn shénme — what do you recommend?
我对___很感兴趣。	wǒ duì ___ hěn gǎn xìngqù — I am very interested in ___
我来自美国。	wǒ láizì měiguó — I come from America
我在学中文，所以请耐心一点。	wǒ zài xué zhōngwén suǒyǐ qǐng nàixīn yīdiǎn — I'm learning Chinese so please be patient
症状	zhèngzhuàng — symptoms
诊所	zhěnsuǒ — clinic
不舒服	bù shūfu — unwell / uncomfortable
发烧	fāshāo — fever
流鼻涕	liú bítì — runny nose
脸色	liǎnsè — complexion / face color
热	rè — hot / feeling hot
身体	shēntǐ — body
过敏	guòmǐn — allergy / allergic
对___过敏	duì___guòmǐn — allergic to ___
药	yào — medicine
花生	huāshēng — peanut
海鲜	hǎixiān — seafood
热心	rèxīn — warm-hearted / helpful (adjective)
早日康复	zǎorì kāngfù — get well soon
登记完了	děngjì wán le — registration is done / finished registering
十三号	shísān hào — the 13th (date format)
我从星期一开始就感冒了。	wǒ cóng xīngqī yī kāishǐ jiù gǎnmao lè — I've had a cold since Monday.
我可不可以看医生？	wǒ kě bu kěyǐ kàn yīshēng — Can I see a doctor?
我两个星期前来了这儿。	wǒ liǎng gè xīngqī qián lái le zhèr — I arrived here two weeks ago.
我没有看过医生。	wǒ méiyǒu kàn guo yīshēng — I haven't seen a doctor before (here).
我发烧了。	wǒ fāshāo le — I have a fever.
我流鼻涕。	wǒ liú bítì — I have a runny nose.
我脸色不好。	wǒ liǎnsè bù hǎo — My complexion is bad / I look unwell.
你有没有对什么东西过敏？	nǐ yǒu méiyǒu duì shénme dōngxi guòmǐn — Are you allergic to anything?
我对___过敏。	wǒ duì___guòmǐn — I am allergic to ___.
你帮了我很多！	nǐ bāng le wǒ hěn duō — You helped me a lot!
你帮了我很多，而且很有耐心！	nǐ bāng le wǒ hěn duō érqiě hěn yǒu nàixīn — You helped me a lot and were very patient!
请稍等一下，医生马上来。	qǐng shāo děng yīxià yīshēng mǎshàng lái — Please wait a moment the doctor will be right with you.
我什么都能吃。	wǒ shénme dōu néng chī — I can eat anything.
我什么都吃。	wǒ shénme dōu chī — I eat everything.
我什么也不吃。	wǒ shénme yě bù chī — I won't eat anything / I eat nothing.
我哪里都去。	wǒ nǎlǐ dōu qù — I'll go anywhere.
谁都知道。	shéi dōu zhīdào — Everyone knows.
我什么时候都可以。	wǒ shénme shíhou dōu kěyǐ — Anytime works for me.
疑问词+都=任何东西	interrogative word + 都 = everything/everyone/anywhere (universal statement pattern)
疑问词+也+不/没=什么都没有	question word + 也 + 不/没 = nothing/nobody/nowhere (negative universal pattern)
二零零二年十月十三号	èr líng líng èr nián shíyuè shísān hào — October 13th 2002 (date format: year month day)
邻居	línjū — neighbor
四川	Sìchuān — Sichuan (province in southwest China)
妻子	qīzi — wife
习惯	xí guàn / habit
害羞	hàixiū — shy
也许	yěxǔ — maybe / perhaps
陌生人	mòshēng rén — stranger
挑剔	tiāoti — picky / fussy
橘色	júsè — orange color
橘子	júzi — tangerine / orange (also a common pet name)
沙发	shā fā / Sofa
搬	bān — to move (furniture / boxes)
搬不了	bān bu liǎo — unable to move it
轮子	lúnzi — wheels
重	zhòng — heavy
手推车	shǒutuīchē — dolly / hand truck
学习	xuéxí — to study / to learn (more formal than 学)
作为回报	zuòwéi huíbào — in return / as repayment
有意义	yǒu yìyì — meaningful / significant
毕业设计项目	bìyè shèjì xiàngmù — senior design project
感谢信	gǎnxiè xìn — thank you letter
打字	dǎ zì — to type (on a keyboard)
一封	yī fēng — one letter (封 is the measure word for letters)
团队	tuánduì — team / group
善良	shànliáng — kind / good-hearted
体贴	tǐtiē — caring / considerate / attentive to others' needs
付出	fùchū — dedication / what one puts in / effort given
教授	jiàoshòu — professor
让我认识了	ràng wǒ rènshi le — introduced me to / helped me get to know
兴奋	xīngfèn — excited
期待	qīdài — to look forward to / to anticipate
未来	wèilái — the future
明年	míngnián — next year
敬上	jìng shàng — respectfully yours (formal letter sign-off)
您	nín — you (formal / respectful form of 你)
我已经学中文三个月了	wǒ yǐjīng xué zhōngwén sān gè yuè le — I have been studying Chinese for three months already (duration pattern with 已经...了)
我好像没有告诉过你	wǒ hǎoxiàng méiyǒu gàosù guo nǐ — I don't think I've told you before (没有+verb+过 = negative experiential pattern)
我认为写一封感谢信是非常有意义的事情	wǒ rènwéi xiě yī fēng gǎnxiè xìn shì fēicháng yǒu yìyì de shìqing — I think writing a thank you letter is a very meaningful thing
我在你的团队学了很多	wǒ zài nǐ de tuánduì xué le hěn duō — I learned a lot in your team (place before verb pattern)
我明年要读教育学硕士	wǒ míngnián yào dú jiàoyùxué shuòshì — I am going to pursue a master's in education next year
我非常兴奋，也很期待未来	wǒ fēicháng xīngfèn yě hěn qīdài wèilái — I am very excited and also really looking forward to the future
形容词不用是 — 直接用很/非常	adjectives do not use 是 — use 很 or 非常 directly (e.g. 你很好 not 你是好)
我在学中文学了___了	wǒ zài xué zhōngwén xué le ___le — I have been studying Chinese for ___ (verb-repeat duration pattern: verb + 了 + time + 了)
形容词	Adjective
项目	Xiàngmù - Project
chinese	pinyin & english
嗨	hāi / Hi
视频	shì pín / video
来聊	lái liáo / come chat
一聊	yī liáo / Let’s chat
宠物	chǒng wù / pet
点半	diǎn bàn / half past
点到	diǎn dào / click to
点钟	diǎn zhōng / o'clock
一只	yī zhī / one
养	yǎng / raise
各种各样	gè zhǒng gè yàng / Various
宠物猫	chǒng wù māo / pet cat
乌龟	wū guī / turtle
小鸟	xiǎo niǎo / birdie
兔子	tù zi / rabbit
马猪	mǎ zhū / horse pig
黄油	huáng yóu / butter
恐龙	kǒng lóng / dinosaur
穿着	chuān zhe / wear
黄色	huáng sè / yellow
样子	yàng zi / appearance
尾巴	wěi ba / tail
乖	guāi / Be good
摸	mō / touch
头	tóu / head
窗外	chuāng wài / outside the window
奥特曼	ào tè màn / ultraman
日本	rì běn / Japan
动画片	dòng huà piàn / cartoon
人物	rén wù / characters
小猫	xiǎo māo / kitten
很乖	hěn guāi / Very well behaved
第四	dì sì / Fourth
上面	shàng miàn / above
糖糖	táng táng / Tangtang
母猫	mǔ māo / female cat
母	mǔ / mother
这三只	zhè sān zhǐ / These three
公	gōng / public
公猫	gōng māo / male cat
男孩	nán hái / boy
小女孩	xiǎo nǚ hái / little girl
另外	lìng wài / In addition
两只	liǎng zhǐ / two
笼子	lóng zi / cage
房	fáng / room
房在	fáng zài / The room is here
猫叫	māo jiào / meow
胖胖	pàng pàng / Fatty
阿里巴巴	ā lǐ bā bā / Alibaba
小巴	xiǎo bā / minibus
经常	jīng cháng / often
打架	dǎ jià / fight
啪啪	pā pā / bang bang
啪	pā / snap
相处	xiāng chǔ / get along
客厅	kè tīng / living room
里会	lǐ huì / Lihui
地上	dì shàng / on the ground
地板	dì bǎn / floor
装满	zhuāng mǎn / full
粮	liáng / grain
其他	qí tā / Others
粮碗	liáng wǎn / grain bowl
放在	fàng zài / put on
垫子	diàn zi / mat
为了	wèile — in order to / for the purpose of
防止	fáng zhǐ / prevent
洒	sǎ / sprinkle
会洒	huì sǎ / Will spill
下面	xià miàn / below
垫	diàn / pad
砂盆	shā pén / sand basin
厕所	cè suǒ / toilet
猫会	māo huì / Cat Club
一边	yī biān / aside
饮水机	yǐn shuǐ jī / water dispenser
它会	tā huì / it will
自动	zì dòng / automatic
出水	chū shuǐ / Out of water
当	dāng / when
流下来	liú xià lái / flow down
这样的话	zhè yàng de huà / In this case
粮桶	liáng tǒng / Grain bucket
一个桶	yí gè tǒng / a bucket
桶	tǒng / bucket
放	fàng / put
很多	hěn duō / a lot
盖	gài / cover
盖子	gài zi / cover
拧开	níng kāi / Unscrew
打开	dǎ kāi / open
存放	cún fàng / store
干燥	gān zào / dry
湿	shī / wet
干燥剂	gān zào jì / Desiccant
变坏	biàn huài / go bad
盖上	gài shàng / cover
一个碗	yí gè wǎn / a bowl
格子	gé zi / grid
一二三四	yī èr sān sì / one two three four
这样	zhè yàng / This way
吃零食	chī líng shí / Eat snacks
带有	dài yǒu / with
盘子	pán zi / plate
阳台	yáng tái / balcony
洗衣机	xǐ yī jī / washing machine
晒太阳	shài tài yáng / bask in the sun
阳光	yáng guāng / sunshine
窝	wō / nest
凳子	dèng zi / stool
一条	yī tiáo / one piece
不过	bù guò / However
假	jiǎ / false
玩具	wán jù / toys
抗狼	kàng láng / Anti-wolf
又	yòu / again
吃饭	chī fàn / eat
豌豆	wān dòu / peas
皮	pí / skin
老婆	lǎo pó / Wife
豆子	dòu zi / beans
只是	zhǐ shì / Just
馋	chán / Greedy
并	bìng / and
正要	zhèng yào / About to
刚才	gāng cái / Just now
肉排	ròu pái / Steak
土豆	tǔ dòu / potatoes
番茄	fān qié / tomato
电视剧	diàn shì jù / TV series
等待	děng dài / wait
看一看	kàn yī kàn / take a look
太阳	tài yáng / sun
强烈	qiáng liè / strong
照到	zhào dào / shine
评论	píng lùn / Comment
区里	qū lǐ / District
顺便	shùn biàn / By the way
柜子	guì zi / cabinet
本来	běn lái / Originally
鸡肉	jī ròu / chicken
干给	gàn gěi / Give it a try
干	gàn / dry
一袋	yī dài / a bag
记得	jì de / remember
展示	zhǎn shì / show
喊	hǎn / shout
过来	guò lái / come here
抗狼抗	kàng láng kàng / Anti-wolf resistance
狼	láng / wolf
全部	quán bù / All
冻干	dòng gàn / Freeze-dried
着急	zháo jí / anxious
急得	jí dé / anxious
快要	kuài yào / Almost
哈哈	hā hā / Haha
袋子	dài zi / bag
最爱	zuì ài / favorite
哇	wa / wow
美味	měi wèi / Delicious
脆	cuì / crispy
回去	huí qù / go back
放到	fàng dào / put in
吃太多	chī tài duō / eat too much
正常	zhèng cháng / normal
主食	zhǔ shí / staple food
一样	yī yàng / Same
拍	pāi / shoot
学到	xué dào / learned
表达	biǎo dá / express
下个	xià gè / Next
老外	lǎowài — foreigner (colloquial / slightly derogatory)
真笨	zhēn bèn — really stupid (colloquial insult)
笨	bèn — stupid / dumb
听懂了	tīng dǒng le — understood (by listening) / got it
你说得对	nǐ shuō de duì — you're right / what you said is correct
不太好吧	bù tài hǎo ba — that's not very good / that's a bit much (softened criticism)
你不应该说那个	nǐ bù yīnggāi shuō nàge — you shouldn't have said that
礼貌	lǐmào — polite / politeness
不太礼貌	bù tài lǐmào — not very polite / a bit rude
X是为了Y	X shì wèile Y — X is in order to Y (purpose structure)
对外国人好一点	duì wàiguórén hǎo yīdiǎn — be a bit kinder to foreigners
才不是这样	cái bù shì zhèyàng — it's not like that at all / no way (casual denial)
我会再来的	wǒ huì zài lái de — I'll come again
记得带零钱	jìde dài língqián — remember to bring change
零钱	língqián — small change / coins
错误	Cuòwù - Mistake
